"sub","distance","cat","num_cat","oldnew","d1","d2","d3","d4","d5","d6","d7","d8","resp","rt","correct","id"
62,"3","A","1","new","0","0","0","1","0","0","1","1","2","2.67499653699997","0",73
62,"2","A","1","new","0","1","0","0","0","1","0","0","1","1.29736283900093","1",73
62,"2","A","1","new","0","0","1","0","0","0","1","0","2","1.89424617499935","0",73
62,"3","A","1","new","1","1","0","0","0","0","0","1","1","1.71728617799999","1",73
62,"1","A","1","new","0","1","0","0","0","0","0","0","1","1.51717847599866","1",73
62,"2","B","2","new","1","1","1","0","1","0","1","1","2","2.04312292000031","1",73
62,"3","B","2","new","1","1","0","0","1","1","1","0","2","3.77720794299967","1",73
62,"2","A","1","new","1","0","0","0","0","1","0","0","1","2.496128787001","1",73
62,"1","A","1","new","0","0","1","0","0","0","0","0","1","2.57904159499958","1",73
62,"2","A","1","new","0","0","0","0","0","1","0","1","1","1.8555805369997","1",73
62,"1","B","2","new","1","1","1","1","1","1","1","0","2","2.22872833600013","1",73
62,"2","B","2","old","0","1","1","1","0","1","1","1","2","2.68302948199926","1",73
62,"2","B","2","old","0","1","1","1","0","1","1","1","2","3.84205612799997","1",73
62,"1","A","1","new","0","0","0","0","0","0","1","0","1","1.99914445499962","1",73
62,"2","A","1","old","0","1","0","0","0","1","0","0","1","1.62915735699971","1",73
62,"3","B","2","new","0","1","0","1","1","1","1","0","2","3.57340176399885","1",73
62,"1","B","2","new","1","1","1","1","0","1","1","1","1","3.51546450299975","0",73
62,"1","A","1","new","0","0","0","0","1","0","0","0","1","0.935830478998469","1",73
62,"1","B","2","new","1","1","0","1","1","1","1","1","2","0.835272932999942","1",73
62,"2","B","2","new","1","1","1","0","0","1","1","1","2","1.00547301400002","1",73
62,"2","B","2","old","1","1","0","1","1","1","0","1","1","0.946768626999983","0",73
62,"2","B","2","new","1","1","0","1","1","1","1","0","2","1.51302170800045","1",73
62,"2","B","2","new","1","1","0","1","1","0","1","1","2","1.5323816529999","1",73
62,"0","A","1","new","0","0","0","0","0","0","0","0","1","0.975735124000494","1",73
62,"2","A","1","new","0","1","0","0","0","0","1","0","2","1.3193509770008","0",73
62,"3","A","1","new","0","1","0","0","1","1","0","0","1","1.46833799500018","1",73
62,"2","A","1","new","0","0","0","0","1","0","0","1","1","1.80225703500037","1",73
62,"1","A","1","new","0","0","0","0","0","0","0","1","1","0.834224587999415","1",73
62,"2","A","1","new","0","1","0","1","0","0","0","0","1","1.54432821800037","1",73
62,"1","B","2","new","1","0","1","1","1","1","1","1","2","0.997328278999703","1",73
62,"3","A","1","new","1","0","1","1","0","0","0","0","2","1.6829940380012","0",73
62,"2","A","1","old","1","0","0","0","1","0","0","0","1","0.891457228000945","1",73
62,"3","B","2","new","0","1","1","1","0","0","1","1","2","0.833228233001137","1",73
62,"3","A","1","new","1","0","1","0","0","0","0","1","1","1.12203796200083","1",73
62,"2","A","1","old","1","0","0","0","1","0","0","0","1","1.15153628499866","1",73
62,"2","B","2","old","1","0","1","1","1","0","1","1","2","1.37446703200112","1",73
62,"2","B","2","old","1","1","1","0","1","1","1","0","2","2.92107368300094","1",73
62,"2","B","2","new","1","1","1","0","1","1","1","0","2","1.09684710100009","1",73
62,"2","B","2","old","1","1","1","0","1","1","1","0","2","2.1016003929999","1",73
62,"1","B","2","new","1","1","1","0","1","1","1","1","2","1.51775049399839","1",73
62,"0","B","2","new","1","1","1","1","1","1","1","1","2","0.69751478299986","1",73
62,"2","B","2","new","0","1","1","1","1","1","1","0","2","1.31378757799939","1",73
62,"3","B","2","new","1","0","1","0","1","1","1","0","2","1.42764784199971","1",73
62,"2","A","1","old","0","0","0","1","0","0","0","1","1","0.458720623000772","1",73
62,"0","A","1","new","0","0","0","0","0","0","0","0","1","1.78968579700086","1",73
62,"1","B","2","new","0","1","1","1","1","1","1","1","2","0.858384107001257","1",73
62,"1","B","2","new","1","1","1","1","1","0","1","1","2","2.40984963099982","1",73
62,"3","A","1","new","1","0","1","0","0","1","0","0","1","1.60961169899929","1",73
62,"1","B","2","new","1","1","1","1","1","1","0","1","1","1.2946417309995","0",73
62,"3","A","1","new","0","0","0","0","1","1","0","1","1","1.74025034899933","1",73
62,"3","A","1","new","1","0","0","1","1","0","0","0","1","1.76141168199865","1",73
62,"1","A","1","new","1","0","0","0","0","0","0","0","1","2.64249530000052","1",73
62,"0","B","2","new","1","1","1","1","1","1","1","1","2","1.17613378399983","1",73
62,"2","A","1","new","1","0","1","0","0","0","0","0","1","1.96113685800083","1",73
62,"3","B","2","new","0","1","1","0","1","0","1","1","2","2.48537155599843","1",73
62,"3","B","2","new","1","0","1","0","1","1","0","1","1","2.97804837100011","0",73
62,"3","B","2","new","1","1","0","0","1","0","1","1","2","1.36719172599987","1",73
62,"1","A","1","new","0","0","0","1","0","0","0","0","1","2.24218828899939","1",73
62,"2","B","2","new","1","1","0","0","1","1","1","1","2","0.803061270000399","1",73
62,"3","B","2","new","0","0","1","0","1","1","1","1","2","0.985782583999026","1",73
62,"2","A","1","old","0","0","0","1","0","0","0","1","1","0.656512857000052","1",73
62,"1","A","1","new","0","0","0","0","0","1","0","0","1","0.793825057000504","1",73
62,"2","A","1","old","0","1","0","0","0","1","0","0","2","0.723702936000336","0",73
62,"2","B","2","old","1","0","1","1","1","0","1","1","1","0.511835564000648","0",73
62,"2","A","1","old","0","0","1","0","0","0","1","0","2","0.730730597999354","0",73
62,"2","A","1","old","0","0","1","0","0","0","1","0","2","1.25980776799952","0",73
62,"2","B","2","old","1","1","0","1","1","1","0","1","1","0.728684075998899","0",73
62,"2","B","2","new","1","1","1","1","1","1","0","0","1","0.636738014000002","0",73
